bloque,hiperparametro,valor,detalle,donde_vive_en_el_codigo
Base model,Forecast horizon,7 days,direct forecast; every dynamic feature is a shift of at least H days,entrenar_baselines.py:H
Base model,Last training target,2023-12-31,the model never sees the evaluation period,entrenar_baselines.py:CORTE_TRAIN
Base model,Trees / learning rate / depth,400 / 0.05 / 6,"fixed a priori, never tuned against 2024-2026",entrenar_baselines.py:XGB_PARAMS
Base model,min_child_weight / subsample / colsample,5 / 0.9 / 0.9,as above,entrenar_baselines.py:XGB_PARAMS
Base model,Number of features,12,"mwh_t, mwh_lag1, mwh_lag7, mwh_lag14, ma7_t, ma30_t, occ_t, dow_target, doy_target, log_potencia_mw, region, tecnologia",entrenar_baselines.py:FEATS
Base model,Dispersion of the hurdle,"out of fold, KFold 5",in-sample residuals of a boosted model understate the dispersion,entrenar_baselines.py
Base model,Quantile grid of the multi-quantile GBM,"54 levels, from 0.005 to 0.999","0.02 to 0.98 in steps of 0.02, plus 0.005, 0.01, 0.99, 0.995 and 0.999; row-wise rearrangement against quantile crossing",fase0_entrenar_qgbm.py:TAUS
Conformal layer,Nominal level,1 - alpha = 0.90,"one-sided upper prediction limit [0, U]",rev_lib.py:ALPHA
Conformal layer,Nonconformity score,s = F_x(y) (PIT),"atom at y = 0 randomised, s = (1-p)U with U ~ Uniform(0,1)",conformal_metodos.py:pit_score
Conformal layer,Calibration window,2024-01-01 to 2024-09-01,"244 days, 26,552 rows","rev_lib.py:CAL_INI, CAL_FIN"
Conformal layer,Horizon embargo,7 days,every online window ends at t-7 and the feedback of alpha is delayed by 7 steps,rev_lib.py:EMBARGO_DIAS
Conformal layer,Conformal quantile,order statistic k = ceil((n+1)(1-alpha_t)),"q = +infinity if k > n, which is the origin of the infinite intervals",conformal_metodos.py:q_conformal
Transport,Length of the recent window,60 days,"the window ends at t minus the embargo, not at t",rev_lib.py:transporte_aci(ventana_dias)
Transport,Refresh period of the map,7 days,the map is recomputed every 7 days; between refreshes the pool is frozen,rev_lib.py:transporte_aci(refresco_dias)
Transport,Minimum recent scores for a refresh,100,with fewer scores in the recent window the previous pool is kept,rev_lib.py:transporte_aci
Transport,Rule for the empirical quantiles,"equispaced grid of g levels on [0,1], g = min(100, max(20, m/2))",m is the number of scores in the recent window; the second term prevents a grid finer than the data,conformal_metodos.py:mapa_transporte_banda
